stats_entry_id,player_id,game_date,vs_team,outcome,min,fgm_fga,fg_per,threem_threea,three_per,ftm_fta,ft_per,rebounds,assists,blocks,steals,fouls,turnovers,points
3284,123,Sat 1/4,@DARTMOUTH,"W 62-53
",27,1-4,.250,0-2,.000,4-5,.800,0,1,0,0,0,3,6
3285,123,Wed 1/8,@YALE,"W 67-59
",33,6-12,.500,3-4,.750,1-2,.500,2,1,0,3,3,0,16
3286,123,Sat 1/11,vsALBANY,"W 68-38
",29,3-6,.500,3-5,.600,0-0,.000,3,1,0,1,2,2,9
3287,123,Thu 1/16,@MAINE,"W 83-46
",22,2-6,.333,1-3,.333,2-2,1.0,6,3,0,1,3,3,7
3288,123,Sat 1/18,@UMBC,"W 73-47
",25,6-9,.667,4-5,.800,6-6,1.0,2,1,0,1,0,0,22
3289,123,Mon 1/20,vsNEW HAMPSHIRE,"W 57-40
",26,2-9,.222,0-5,.000,0-0,.000,3,1,0,0,1,1,4
3290,123,Fri 1/24,@STONY BROOK,"L 67-64
",18,0-4,.000,0-2,.000,4-6,.667,1,1,0,0,0,0,4
3291,123,Sun 1/26,vsBINGHAMTON,"W 72-39
",27,6-9,.667,4-5,.800,0-0,.000,2,1,0,1,1,0,16
3292,123,Wed 1/29,@HARTFORD,"W 67-60
",34,4-7,.571,2-5,.400,0-0,.000,1,0,1,0,2,4,10
3293,123,Sat 2/1,@ALBANY,"W 55-45
",29,6-9,.667,1-3,.333,3-4,.750,2,2,0,0,3,1,16
3294,123,Tue 2/4,vsMAINE,"W 93-65
",14,5-8,.625,0-2,.000,0-0,.000,0,0,0,2,2,1,10
3295,123,Wed 2/12,vsUMASS LOWELL,"W 83-58
",22,5-10,.500,2-4,.500,2-2,1.0,1,0,0,0,1,1,14
3296,123,Sat 2/15,vsUMBC,"W 76-52
",20,3-6,.500,1-1,1.0,0-0,.000,0,0,0,1,4,1,7
3299,124,Tue 11/12,vsSIENA,"W 77-66
",1,0-0,.000,0-0,.000,0-0,.000,0,0,0,1,0,0,0
3306,124,Sat 11/30,vsSONOMA ST,"W 73-61
",1,0-0,.000,0-0,.000,0-0,.000,0,1,0,0,2,0,0
3310,124,Mon 12/30,vsLYNDON STATE COLLEGE,"W 88-48
",15,0-2,.000,0-1,.000,0-0,.000,1,0,0,1,1,0,0
3313,124,Sat 1/11,vsALBANY,"W 68-38
",3,0-0,.000,0-0,.000,2-2,1.0,0,0,0,0,0,0,2
3314,124,Thu 1/16,@MAINE,"W 83-46
",7,1-1,1.0,0-0,.000,0-0,.000,1,0,0,1,0,1,2
3316,124,Mon 1/20,vsNEW HAMPSHIRE,"W 57-40
",1,0-0,.000,0-0,.000,0-0,.000,0,0,0,0,0,0,0
3318,124,Sun 1/26,vsBINGHAMTON,"W 72-39
",3,0-0,.000,0-0,.000,0-0,.000,1,1,0,0,0,0,0
3321,124,Tue 2/4,vsMAINE,"W 93-65
",6,1-2,.500,0-1,.000,0-0,.000,2,0,0,0,0,0,2
3322,124,Wed 2/12,vsUMASS LOWELL,"W 83-58
",9,1-1,1.0,1-1,1.0,0-0,.000,2,0,0,0,2,0,3
